"","Experiment","Condition","Item","Subj","Word","Region","Presentation","RT","QPCT","match"
"257","BOCK","b","8","1","The",1,16,306,100,"mismatch"
"258","BOCK","b","8","1","defect",2,16,527,100,"mismatch"
"259","BOCK","b","8","1","in",3,16,618,100,"mismatch"
"260","BOCK","b","8","1","the",4,16,511,100,"mismatch"
"261","BOCK","b","8","1","appliances",5,16,909,100,"mismatch"
"262","BOCK","b","8","1","likely",6,16,1257,100,"mismatch"
"263","BOCK","b","8","1","was",7,16,440,100,"mismatch"
"264","BOCK","b","8","1","unknown",8,16,589,100,"mismatch"
"265","BOCK","b","8","1","to",9,16,476,100,"mismatch"
"266","BOCK","b","8","1","consumers",10,16,1214,100,"mismatch"
"267","BOCK","b","8","1","and",11,16,400,100,"mismatch"
"268","BOCK","b","8","1","government",12,16,489,100,"mismatch"
"269","BOCK","b","8","1","regulators.",13,16,486,100,"mismatch"
"357","BOCK","a","19","1","The",1,22,334,0,"match"
"358","BOCK","a","19","1","warning",2,22,557,0,"match"
"359","BOCK","a","19","1","from",3,22,406,0,"match"
"360","BOCK","a","19","1","the",4,22,465,0,"match"
"361","BOCK","a","19","1","expert",5,22,468,0,"match"
"362","BOCK","a","19","1","unsurprisingly",6,22,804,0,"match"
"363","BOCK","a","19","1","was",7,22,468,0,"match"
"364","BOCK","a","19","1","a",8,22,358,0,"match"
"365","BOCK","a","19","1","shock",9,22,452,0,"match"
"366","BOCK","a","19","1","to",10,22,422,0,"match"
"367","BOCK","a","19","1","the",11,22,509,0,"match"
"368","BOCK","a","19","1","residents",12,22,1171,0,"match"
"369","BOCK","a","19","1","of",13,22,384,0,"match"
"370","BOCK","a","19","1","the",14,22,374,0,"match"
"371","BOCK","a","19","1","city.",15,22,419,0,"match"
"512","BOCK","b","18","1","The",1,30,318,100,"mismatch"
"513","BOCK","b","18","1","entrance",2,30,503,100,"mismatch"
"514","BOCK","b","18","1","to",3,30,397,100,"mismatch"
"515","BOCK","b","18","1","the",4,30,458,100,"mismatch"
"516","BOCK","b","18","1","exhibits",5,30,1088,100,"mismatch"
"517","BOCK","b","18","1","evidently",6,30,497,100,"mismatch"
"518","BOCK","b","18","1","was",7,30,436,100,"mismatch"
"519","BOCK","b","18","1","hard",8,30,441,100,"mismatch"
"520","BOCK","b","18","1","to",9,30,342,100,"mismatch"
"521","BOCK","b","18","1","locate",10,30,911,100,"mismatch"
"522","BOCK","b","18","1","on",11,30,336,100,"mismatch"
"523","BOCK","b","18","1","the",12,30,331,100,"mismatch"
"524","BOCK","b","18","1","diagram.",13,30,1196,100,"mismatch"
"737","BOCK","a","5","1","The",1,44,336,100,"match"
"738","BOCK","a","5","1","problem",2,44,497,100,"match"
"739","BOCK","a","5","1","in",3,44,395,100,"match"
"740","BOCK","a","5","1","the",4,44,366,100,"match"
"741","BOCK","a","5","1","store",5,44,713,100,"match"
"742","BOCK","a","5","1","ultimately",6,44,829,100,"match"
"743","BOCK","a","5","1","was",7,44,481,100,"match"
"744","BOCK","a","5","1","solved",8,44,977,100,"match"
"745","BOCK","a","5","1","by",9,44,393,100,"match"
"746","BOCK","a","5","1","firing",10,44,395,100,"match"
"747","BOCK","a","5","1","the",11,44,393,100,"match"
"748","BOCK","a","5","1","custodian.",12,44,1525,100,"match"
"844","BOCK","a","1","1","The",1,50,296,100,"match"
"845","BOCK","a","1","1","slogan",2,50,532,100,"match"
"846","BOCK","a","1","1","on",3,50,392,100,"match"
"847","BOCK","a","1","1","the",4,50,412,100,"match"
"848","BOCK","a","1","1","poster",5,50,614,100,"match"
"849","BOCK","a","1","1","unsurprisingly",6,50,1718,100,"match"
"850","BOCK","a","1","1","was",7,50,473,100,"match"
"851","BOCK","a","1","1","designed",8,50,638,100,"match"
"852","BOCK","a","1","1","to",9,50,293,100,"match"
"853","BOCK","a","1","1","get",10,50,331,100,"match"
"854","BOCK","a","1","1","attention.",11,50,2271,100,"match"
"866","BOCK","b","24","1","The",1,52,358,100,"mismatch"
"867","BOCK","b","24","1","gate",2,52,418,100,"mismatch"
"868","BOCK","b","24","1","to",3,52,594,100,"mismatch"
"869","BOCK","b","24","1","the",4,52,339,100,"mismatch"
"870","BOCK","b","24","1","pastures",5,52,449,100,"mismatch"
"871","BOCK","b","24","1","evidently",6,52,633,100,"mismatch"
"872","BOCK","b","24","1","was",7,52,392,100,"mismatch"
"873","BOCK","b","24","1","falling",8,52,412,100,"mismatch"
"874","BOCK","b","24","1","down",9,52,833,100,"mismatch"
"875","BOCK","b","24","1","due",10,52,525,100,"mismatch"
"876","BOCK","b","24","1","to",11,52,318,100,"mismatch"
"877","BOCK","b","24","1","disrepair.",12,52,737,100,"mismatch"
"945","BOCK","a","15","1","The",1,57,568,100,"match"
"946","BOCK","a","15","1","check",2,57,800,100,"match"
"947","BOCK","a","15","1","from",3,57,438,100,"match"
"948","BOCK","a","15","1","the",4,57,376,100,"match"
"949","BOCK","a","15","1","stockbroker",5,57,510,100,"match"
"950","BOCK","a","15","1","happily",6,57,546,100,"match"
"951","BOCK","a","15","1","was",7,57,606,100,"match"
"952","BOCK","a","15","1","a",8,57,352,100,"match"
"953","BOCK","a","15","1","dividend",9,57,805,100,"match"
"954","BOCK","a","15","1","on",10,57,406,100,"match"
"955","BOCK","a","15","1","a",11,57,336,100,"match"
"956","BOCK","a","15","1","long-term",12,57,435,100,"match"
"957","BOCK","a","15","1","bond.",13,57,1021,100,"match"
"1052","BOCK","a","23","1","The",1,64,299,100,"match"
"1053","BOCK","a","23","1","message",2,64,392,100,"match"
"1054","BOCK","a","23","1","from",3,64,430,100,"match"
"1055","BOCK","a","23","1","the",4,64,368,100,"match"
"1056","BOCK","a","23","1","engineer",5,64,629,100,"match"
"1057","BOCK","a","23","1","regrettably",6,64,998,100,"match"
"1058","BOCK","a","23","1","was",7,64,444,100,"match"
"1059","BOCK","a","23","1","about",8,64,625,100,"match"
"1060","BOCK","a","23","1","the",9,64,589,100,"match"
"1061","BOCK","a","23","1","recent",10,64,609,100,"match"
"1062","BOCK","a","23","1","weakening",11,64,864,100,"match"
"1063","BOCK","a","23","1","to",12,64,420,100,"match"
"1064","BOCK","a","23","1","the",13,64,422,100,"match"
"1065","BOCK","a","23","1","building's",14,64,517,100,"match"
"1066","BOCK","a","23","1","structural",15,64,430,100,"match"
"1067","BOCK","a","23","1","supports.",16,64,416,100,"match"
"1143","BOCK","a","13","1","The",1,69,362,100,"match"
"1144","BOCK","a","13","1","door",2,69,377,100,"match"
"1145","BOCK","a","13","1","to",3,69,449,100,"match"
"1146","BOCK","a","13","1","the",4,69,393,100,"match"
"1147","BOCK","a","13","1","laboratory",5,69,535,100,"match"
"1148","BOCK","a","13","1","accidentally",6,69,839,100,"match"
"1149","BOCK","a","13","1","was",7,69,439,100,"match"
"1150","BOCK","a","13","1","left",8,69,399,100,"match"
"1151","BOCK","a","13","1","unlocked",9,69,443,100,"match"
"1152","BOCK","a","13","1","by",10,69,371,100,"match"
"1153","BOCK","a","13","1","the",11,69,287,100,"match"
"1154","BOCK","a","13","1","cleaning",12,69,314,100,"match"
"1155","BOCK","a","13","1","service.",13,69,438,100,"match"
"1197","BOCK","a","17","1","The",1,72,315,100,"match"
"1198","BOCK","a","17","1","letter",2,72,400,100,"match"
"1199","BOCK","a","17","1","from",3,72,359,100,"match"
"1200","BOCK","a","17","1","the",4,72,349,100,"match"
"1201","BOCK","a","17","1","investigator",5,72,548,100,"match"
"1202","BOCK","a","17","1","allegedly",6,72,486,100,"match"
"1203","BOCK","a","17","1","was",7,72,397,100,"match"
"1204","BOCK","a","17","1","received",8,72,415,100,"match"
"1205","BOCK","a","17","1","in",9,72,395,100,"match"
"1206","BOCK","a","17","1","San",10,72,341,100,"match"
"1207","BOCK","a","17","1","Francisco",11,72,492,100,"match"
"1208","BOCK","a","17","1","in",12,72,335,100,"match"
"1209","BOCK","a","17","1","late",13,72,338,100,"match"
"1210","BOCK","a","17","1","March.",14,72,430,100,"match"
"1306","BOCK","b","20","1","The",1,78,309,100,"mismatch"
"1307","BOCK","b","20","1","bridge",2,78,401,100,"mismatch"
"1308","BOCK","b","20","1","to",3,78,398,100,"mismatch"
"1309","BOCK","b","20","1","the",4,78,646,100,"mismatch"
"1310","BOCK","b","20","1","islands",5,78,466,100,"mismatch"
"1311","BOCK","b","20","1","apparently",6,78,411,100,"mismatch"
"1312","BOCK","b","20","1","was",7,78,422,100,"mismatch"
"1313","BOCK","b","20","1","about",8,78,436,100,"mismatch"
"1314","BOCK","b","20","1","ten",9,78,463,100,"mismatch"
"1315","BOCK","b","20","1","miles",10,78,454,100,"mismatch"
"1316","BOCK","b","20","1","off",11,78,374,100,"mismatch"
"1317","BOCK","b","20","1","the",12,78,322,100,"mismatch"
"1318","BOCK","b","20","1","main",13,78,368,100,"mismatch"
"1319","BOCK","b","20","1","highway.",14,78,990,100,"mismatch"
"1354","BOCK","b","4","1","The",1,81,326,100,"mismatch"
"1355","BOCK","b","4","1","label",2,81,373,100,"mismatch"
"1356","BOCK","b","4","1","on",3,81,406,100,"mismatch"
"1357","BOCK","b","4","1","the",4,81,376,100,"mismatch"
"1358","BOCK","b","4","1","containers",5,81,446,100,"mismatch"
"1359","BOCK","b","4","1","probably",6,81,429,100,"mismatch"
"1360","BOCK","b","4","1","was",7,81,326,100,"mismatch"
"1361","BOCK","b","4","1","a",8,81,301,100,"mismatch"
"1362","BOCK","b","4","1","warning",9,81,319,100,"mismatch"
"1363","BOCK","b","4","1","about",10,81,286,100,"mismatch"
"1364","BOCK","b","4","1","the",11,81,411,100,"mismatch"
"1365","BOCK","b","4","1","hazardous",12,81,514,100,"mismatch"
"1366","BOCK","b","4","1","chemicals",13,81,378,100,"mismatch"
"1367","BOCK","b","4","1","inside.",14,81,368,100,"mismatch"
"1549","BOCK","b","14","1","The",1,92,329,100,"mismatch"
"1550","BOCK","b","14","1","memo",2,92,365,100,"mismatch"
"1551","BOCK","b","14","1","from",3,92,392,100,"mismatch"
"1552","BOCK","b","14","1","the",4,92,304,100,"mismatch"
"1553","BOCK","b","14","1","supervisors",5,92,403,100,"mismatch"
"1554","BOCK","b","14","1","unfortunately",6,92,648,100,"mismatch"
"1555","BOCK","b","14","1","was",7,92,406,100,"mismatch"
"1556","BOCK","b","14","1","about",8,92,368,100,"mismatch"
"1557","BOCK","b","14","1","the",9,92,352,100,"mismatch"
"1558","BOCK","b","14","1","delinquent",10,92,597,100,"mismatch"
"1559","BOCK","b","14","1","tax",11,92,314,100,"mismatch"
"1560","BOCK","b","14","1","return.",12,92,605,100,"mismatch"
"1618","BOCK","a","21","1","The",1,96,285,100,"match"
"1619","BOCK","a","21","1","gift",2,96,357,100,"match"
"1620","BOCK","a","21","1","from",3,96,420,100,"match"
"1621","BOCK","a","21","1","the",4,96,368,100,"match"
"1622","BOCK","a","21","1","visitor",5,96,805,100,"match"
"1623","BOCK","a","21","1","apparently",6,96,524,100,"match"
"1624","BOCK","a","21","1","was",7,96,358,100,"match"
"1625","BOCK","a","21","1","a",8,96,360,100,"match"
"1626","BOCK","a","21","1","beautiful",9,96,373,100,"match"
"1627","BOCK","a","21","1","clock",10,96,414,100,"match"
"1628","BOCK","a","21","1","from",11,96,493,100,"match"
"1629","BOCK","a","21","1","Germany.",12,96,845,100,"match"
"1643","BOCK","b","22","1","The",1,98,266,100,"mismatch"
"1644","BOCK","b","22","1","path",2,98,304,100,"mismatch"
"1645","BOCK","b","22","1","to",3,98,390,100,"mismatch"
"1646","BOCK","b","22","1","the",4,98,312,100,"mismatch"
"1647","BOCK","b","22","1","monuments",5,98,1287,100,"mismatch"
"1648","BOCK","b","22","1","happily",6,98,481,100,"mismatch"
"1649","BOCK","b","22","1","was",7,98,414,100,"mismatch"
"1650","BOCK","b","22","1","lined",8,98,530,100,"mismatch"
"1651","BOCK","b","22","1","with",9,98,619,100,"mismatch"
"1652","BOCK","b","22","1","lovely",10,98,484,100,"mismatch"
"1653","BOCK","b","22","1","trees",11,98,382,100,"mismatch"
"1654","BOCK","b","22","1","and",12,98,328,100,"mismatch"
"1655","BOCK","b","22","1","flowers.",13,98,796,100,"mismatch"
"1956","BOCK","b","16","1","The",1,116,259,100,"mismatch"
"1957","BOCK","b","16","1","key",2,116,311,100,"mismatch"
"1958","BOCK","b","16","1","to",3,116,422,100,"mismatch"
"1959","BOCK","b","16","1","the",4,116,320,100,"mismatch"
"1960","BOCK","b","16","1","cells",5,116,306,100,"mismatch"
"1961","BOCK","b","16","1","unsurprisingly",6,116,1179,100,"mismatch"
"1962","BOCK","b","16","1","was",7,116,395,100,"mismatch"
"1963","BOCK","b","16","1","rusty",8,116,905,100,"mismatch"
"1964","BOCK","b","16","1","from",9,116,1986,100,"mismatch"
"1965","BOCK","b","16","1","many",10,116,339,100,"mismatch"
"1966","BOCK","b","16","1","years",11,116,287,100,"mismatch"
"1967","BOCK","b","16","1","of",12,116,336,100,"mismatch"
"1968","BOCK","b","16","1","disuse.",13,116,406,100,"mismatch"
"2022","BOCK","b","6","1","The",1,120,250,100,"mismatch"
"2023","BOCK","b","6","1","name",2,120,287,100,"mismatch"
"2024","BOCK","b","6","1","on",3,120,271,100,"mismatch"
"2025","BOCK","b","6","1","the",4,120,279,100,"mismatch"
"2026","BOCK","b","6","1","billboards",5,120,349,100,"mismatch"
"2027","BOCK","b","6","1","probably",6,120,249,100,"mismatch"
"2028","BOCK","b","6","1","was",7,120,309,100,"mismatch"
"2029","BOCK","b","6","1","of",8,120,331,100,"mismatch"
"2030","BOCK","b","6","1","a",9,120,301,100,"mismatch"
"2031","BOCK","b","6","1","prominent",10,120,449,100,"mismatch"
"2032","BOCK","b","6","1","local",11,120,257,100,"mismatch"
"2033","BOCK","b","6","1","businessman.",12,120,670,100,"mismatch"
"2055","BOCK","b","12","1","The",1,122,255,100,"mismatch"
"2056","BOCK","b","12","1","flaw",2,122,333,100,"mismatch"
"2057","BOCK","b","12","1","in",3,122,362,100,"mismatch"
"2058","BOCK","b","12","1","the",4,122,320,100,"mismatch"
"2059","BOCK","b","12","1","arguments",5,122,446,100,"mismatch"
"2060","BOCK","b","12","1","usually",6,122,360,100,"mismatch"
"2061","BOCK","b","12","1","was",7,122,420,100,"mismatch"
"2062","BOCK","b","12","1","clear",8,122,442,100,"mismatch"
"2063","BOCK","b","12","1","to",9,122,368,100,"mismatch"
"2064","BOCK","b","12","1","everyone",10,122,411,100,"mismatch"
"2065","BOCK","b","12","1","in",11,122,352,100,"mismatch"
"2066","BOCK","b","12","1","the",12,122,304,100,"mismatch"
"2067","BOCK","b","12","1","lecture",13,122,314,100,"mismatch"
"2068","BOCK","b","12","1","hall",14,122,406,100,"mismatch"
"2069","BOCK","b","12","1","after",15,122,371,100,"mismatch"
"2070","BOCK","b","12","1","just",16,122,371,100,"mismatch"
"2071","BOCK","b","12","1","five",17,122,277,100,"mismatch"
"2072","BOCK","b","12","1","minutes.",18,122,506,100,"mismatch"
"2189","BOCK","b","2","1","The",1,130,280,100,"mismatch"
"2190","BOCK","b","2","1","picture",2,130,260,100,"mismatch"
"2191","BOCK","b","2","1","on",3,130,414,100,"mismatch"
"2192","BOCK","b","2","1","the",4,130,301,100,"mismatch"
"2193","BOCK","b","2","1","fliers",5,130,317,100,"mismatch"
"2194","BOCK","b","2","1","definitely",6,130,444,100,"mismatch"
"2195","BOCK","b","2","1","was",7,130,387,100,"mismatch"
"2196","BOCK","b","2","1","of",8,130,366,100,"mismatch"
"2197","BOCK","b","2","1","a",9,130,425,100,"mismatch"
"2198","BOCK","b","2","1","village",10,130,422,100,"mismatch"
"2199","BOCK","b","2","1","church",11,130,449,100,"mismatch"
"2200","BOCK","b","2","1","in",12,130,353,100,"mismatch"
"2201","BOCK","b","2","1","the",13,130,360,100,"mismatch"
"2202","BOCK","b","2","1","south",14,130,344,100,"mismatch"
"2203","BOCK","b","2","1","of",15,130,357,100,"mismatch"
"2204","BOCK","b","2","1","France.",16,130,336,100,"mismatch"
"2492","BOCK","b","10","1","The",1,147,253,0,"mismatch"
"2493","BOCK","b","10","1","advertisement",2,147,349,0,"mismatch"
"2494","BOCK","b","10","1","on",3,147,317,0,"mismatch"
"2495","BOCK","b","10","1","the",4,147,326,0,"mismatch"
"2496","BOCK","b","10","1","skyscrapers",5,147,355,0,"mismatch"
"2497","BOCK","b","10","1","typically",6,147,452,0,"mismatch"
"2498","BOCK","b","10","1","was",7,147,371,0,"mismatch"
"2499","BOCK","b","10","1","hard",8,147,352,0,"mismatch"
"2500","BOCK","b","10","1","to",9,147,374,0,"mismatch"
"2501","BOCK","b","10","1","read",10,147,301,0,"mismatch"
"2502","BOCK","b","10","1","except",11,147,522,0,"mismatch"
"2503","BOCK","b","10","1","from",12,147,379,0,"mismatch"
"2504","BOCK","b","10","1","a",13,147,336,0,"mismatch"
"2505","BOCK","b","10","1","long",14,147,331,0,"mismatch"
"2506","BOCK","b","10","1","distance",15,147,431,0,"mismatch"
"2507","BOCK","b","10","1","away.",16,147,508,0,"mismatch"
"2525","BOCK","a","3","1","The",1,149,301,100,"match"
"2526","BOCK","a","3","1","mistake",2,149,265,100,"match"
"2527","BOCK","a","3","1","in",3,149,343,100,"match"
"2528","BOCK","a","3","1","the",4,149,462,100,"match"
"2529","BOCK","a","3","1","program",5,149,253,100,"match"
"2530","BOCK","a","3","1","certainly",6,149,319,100,"match"
"2531","BOCK","a","3","1","was",7,149,425,100,"match"
"2532","BOCK","a","3","1","disastrous",8,149,271,100,"match"
"2533","BOCK","a","3","1","for",9,149,376,100,"match"
"2534","BOCK","a","3","1","the",10,149,331,100,"match"
"2535","BOCK","a","3","1","small",11,149,298,100,"match"
"2536","BOCK","a","3","1","software",12,149,360,100,"match"
"2537","BOCK","a","3","1","company.",13,149,289,100,"match"
"2743","BOCK","a","9","1","The",1,163,245,100,"match"
"2744","BOCK","a","9","1","citation",2,163,517,100,"match"
"2745","BOCK","a","9","1","on",3,163,303,100,"match"
"2746","BOCK","a","9","1","the",4,163,393,100,"match"
"2747","BOCK","a","9","1","notecard",5,163,354,100,"match"
"2748","BOCK","a","9","1","unfortunately",6,163,811,100,"match"
"2749","BOCK","a","9","1","was",7,163,360,100,"match"
"2750","BOCK","a","9","1","quite",8,163,377,100,"match"
"2751","BOCK","a","9","1","difficult",9,163,381,100,"match"
"2752","BOCK","a","9","1","to",10,163,339,100,"match"
"2753","BOCK","a","9","1","track",11,163,352,100,"match"
"2754","BOCK","a","9","1","down",12,163,317,100,"match"
"2755","BOCK","a","9","1","using",13,163,317,100,"match"
"2756","BOCK","a","9","1","the",14,163,318,100,"match"
"2757","BOCK","a","9","1","library's",15,163,305,100,"match"
"2758","BOCK","a","9","1","limited",16,163,317,100,"match"
"2759","BOCK","a","9","1","resources.",17,163,362,100,"match"
"3217","BOCK","a","7","1","The",1,192,324,100,"match"
"3218","BOCK","a","7","1","crime",2,192,290,100,"match"
"3219","BOCK","a","7","1","in",3,192,344,100,"match"
"3220","BOCK","a","7","1","the",4,192,280,100,"match"
"3221","BOCK","a","7","1","suburb",5,192,338,100,"match"
"3222","BOCK","a","7","1","doubtlessly",6,192,538,100,"match"
"3223","BOCK","a","7","1","was",7,192,630,100,"match"
"3224","BOCK","a","7","1","a",8,192,273,100,"match"
"3225","BOCK","a","7","1","reflection",9,192,475,100,"match"
"3226","BOCK","a","7","1","of",10,192,389,100,"match"
"3227","BOCK","a","7","1","the",11,192,589,100,"match"
"3228","BOCK","a","7","1","violence",12,192,471,100,"match"
"3229","BOCK","a","7","1","in",13,192,325,100,"match"
"3230","BOCK","a","7","1","today's",14,192,374,100,"match"
"3231","BOCK","a","7","1","society.",15,192,565,100,"match"
"3428","BOCK","a","11","1","The",1,204,258,100,"match"
"3429","BOCK","a","11","1","traitor",2,204,366,100,"match"
"3430","BOCK","a","11","1","in",3,204,399,100,"match"
"3431","BOCK","a","11","1","the",4,204,352,100,"match"
"3432","BOCK","a","11","1","camp",5,204,306,100,"match"
"3433","BOCK","a","11","1","regrettably",6,204,674,100,"match"
"3434","BOCK","a","11","1","was",7,204,439,100,"match"
"3435","BOCK","a","11","1","passing",8,204,358,100,"match"
"3436","BOCK","a","11","1","information",9,204,341,100,"match"
"3437","BOCK","a","11","1","to",10,204,328,100,"match"
"3438","BOCK","a","11","1","the",11,204,274,100,"match"
"3439","BOCK","a","11","1","enemy",12,204,241,100,"match"
"3440","BOCK","a","11","1","through",13,204,287,100,"match"
"3441","BOCK","a","11","1","various",14,204,285,100,"match"
"3442","BOCK","a","11","1","secret",15,204,349,100,"match"
"3443","BOCK","a","11","1","methods.",16,204,335,100,"match"
"3949","BOCK","a","4","2","The",1,12,359,100,"match"
"3950","BOCK","a","4","2","label",2,12,301,100,"match"
"3951","BOCK","a","4","2","on",3,12,304,100,"match"
"3952","BOCK","a","4","2","the",4,12,288,100,"match"
"3953","BOCK","a","4","2","container",5,12,287,100,"match"
"3954","BOCK","a","4","2","probably",6,12,295,100,"match"
"3955","BOCK","a","4","2","was",7,12,331,100,"match"
"3956","BOCK","a","4","2","a",8,12,307,100,"match"
"3957","BOCK","a","4","2","warning",9,12,293,100,"match"
"3958","BOCK","a","4","2","about",10,12,660,100,"match"
"3959","BOCK","a","4","2","the",11,12,329,100,"match"
"3960","BOCK","a","4","2","hazardous",12,12,344,100,"match"
"3961","BOCK","a","4","2","chemicals",13,12,364,100,"match"
"3962","BOCK","a","4","2","inside.",14,12,371,100,"match"
"4077","BOCK","b","1","2","The",1,19,394,100,"mismatch"
"4078","BOCK","b","1","2","slogan",2,19,407,100,"mismatch"
"4079","BOCK","b","1","2","on",3,19,555,100,"mismatch"
"4080","BOCK","b","1","2","the",4,19,321,100,"mismatch"
"4081","BOCK","b","1","2","posters",5,19,428,100,"mismatch"
"4082","BOCK","b","1","2","unsurprisingly",6,19,379,100,"mismatch"
"4083","BOCK","b","1","2","was",7,19,452,100,"mismatch"
"4084","BOCK","b","1","2","designed",8,19,394,100,"mismatch"
"4085","BOCK","b","1","2","to",9,19,350,100,"mismatch"
"4086","BOCK","b","1","2","get",10,19,312,100,"mismatch"
"4087","BOCK","b","1","2","attention.",11,19,403,100,"mismatch"
"4151","BOCK","b","13","2","The",1,24,307,100,"mismatch"
"4152","BOCK","b","13","2","door",2,24,291,100,"mismatch"
"4153","BOCK","b","13","2","to",3,24,263,100,"mismatch"
"4154","BOCK","b","13","2","the",4,24,282,100,"mismatch"
"4155","BOCK","b","13","2","laboratories",5,24,238,100,"mismatch"
"4156","BOCK","b","13","2","accidentally",6,24,528,100,"mismatch"
"4157","BOCK","b","13","2","was",7,24,371,100,"mismatch"
"4158","BOCK","b","13","2","left",8,24,323,100,"mismatch"
"4159","BOCK","b","13","2","unlocked",9,24,260,100,"mismatch"
"4160","BOCK","b","13","2","by",10,24,374,100,"mismatch"
"4161","BOCK","b","13","2","the",11,24,291,100,"mismatch"
"4162","BOCK","b","13","2","cleaning",12,24,296,100,"mismatch"
"4163","BOCK","b","13","2","service.",13,24,525,100,"mismatch"
"4343","BOCK","b","3","2","The",1,35,326,100,"mismatch"
"4344","BOCK","b","3","2","mistake",2,35,525,100,"mismatch"
"4345","BOCK","b","3","2","in",3,35,299,100,"mismatch"
"4346","BOCK","b","3","2","the",4,35,274,100,"mismatch"
"4347","BOCK","b","3","2","programs",5,35,269,100,"mismatch"
"4348","BOCK","b","3","2","certainly",6,35,368,100,"mismatch"
"4349","BOCK","b","3","2","was",7,35,355,100,"mismatch"
"4350","BOCK","b","3","2","disastrous",8,35,223,100,"mismatch"
"4351","BOCK","b","3","2","for",9,35,329,100,"mismatch"
"4352","BOCK","b","3","2","the",10,35,312,100,"mismatch"
"4353","BOCK","b","3","2","small",11,35,333,100,"mismatch"
"4354","BOCK","b","3","2","software",12,35,301,100,"mismatch"
"4355","BOCK","b","3","2","company.",13,35,398,100,"mismatch"
"4523","BOCK","b","11","2","The",1,46,323,100,"mismatch"
"4524","BOCK","b","11","2","traitor",2,46,225,100,"mismatch"
"4525","BOCK","b","11","2","in",3,46,482,100,"mismatch"
"4526","BOCK","b","11","2","the",4,46,271,100,"mismatch"
"4527","BOCK","b","11","2","camps",5,46,285,100,"mismatch"
"4528","BOCK","b","11","2","regrettably",6,46,311,100,"mismatch"
"4529","BOCK","b","11","2","was",7,46,1130,100,"mismatch"
"4530","BOCK","b","11","2","passing",8,46,293,100,"mismatch"
"4531","BOCK","b","11","2","information",9,46,320,100,"mismatch"
"4532","BOCK","b","11","2","to",10,46,320,100,"mismatch"
"4533","BOCK","b","11","2","the",11,46,304,100,"mismatch"
"4534","BOCK","b","11","2","enemy",12,46,334,100,"mismatch"
"4535","BOCK","b","11","2","through",13,46,665,100,"mismatch"
"4536","BOCK","b","11","2","various",14,46,878,100,"mismatch"
"4537","BOCK","b","11","2","secret",15,46,287,100,"mismatch"
"4538","BOCK","b","11","2","methods.",16,46,323,100,"mismatch"
"4579","BOCK","b","19","2","The",1,49,296,100,"mismatch"
"4580","BOCK","b","19","2","warning",2,49,334,100,"mismatch"
"4581","BOCK","b","19","2","from",3,49,282,100,"mismatch"
"4582","BOCK","b","19","2","the",4,49,320,100,"mismatch"
"4583","BOCK","b","19","2","experts",5,49,353,100,"mismatch"
"4584","BOCK","b","19","2","unsurprisingly",6,49,366,100,"mismatch"
"4585","BOCK","b","19","2","was",7,49,728,100,"mismatch"
"4586","BOCK","b","19","2","a",8,49,402,100,"mismatch"
"4587","BOCK","b","19","2","shock",9,49,410,100,"mismatch"
"4588","BOCK","b","19","2","to",10,49,353,100,"mismatch"
"4589","BOCK","b","19","2","the",11,49,302,100,"mismatch"
"4590","BOCK","b","19","2","residents",12,49,430,100,"mismatch"
"4591","BOCK","b","19","2","of",13,49,331,100,"mismatch"
"4592","BOCK","b","19","2","the",14,49,263,100,"mismatch"
"4593","BOCK","b","19","2","city.",15,49,452,100,"mismatch"
"4645","BOCK","a","6","2","The",1,53,299,100,"match"
"4646","BOCK","a","6","2","name",2,53,263,100,"match"
"4647","BOCK","a","6","2","on",3,53,252,100,"match"
"4648","BOCK","a","6","2","the",4,53,275,100,"match"
"4649","BOCK","a","6","2","billboard",5,53,266,100,"match"
"4650","BOCK","a","6","2","probably",6,53,276,100,"match"
"4651","BOCK","a","6","2","was",7,53,280,100,"match"
"4652","BOCK","a","6","2","of",8,53,277,100,"match"
"4653","BOCK","a","6","2","a",9,53,394,100,"match"
"4654","BOCK","a","6","2","prominent",10,53,330,100,"match"
"4655","BOCK","a","6","2","local",11,53,447,100,"match"
"4656","BOCK","a","6","2","businessman.",12,53,808,100,"match"
"4821","BOCK","a","22","2","The",1,63,285,100,"match"
"4822","BOCK","a","22","2","path",2,63,530,100,"match"
"4823","BOCK","a","22","2","to",3,63,271,100,"match"
"4824","BOCK","a","22","2","the",4,63,282,100,"match"
"4825","BOCK","a","22","2","monument",5,63,266,100,"match"
"4826","BOCK","a","22","2","happily",6,63,273,100,"match"
"4827","BOCK","a","22","2","was",7,63,404,100,"match"
"4828","BOCK","a","22","2","lined",8,63,422,100,"match"
"4829","BOCK","a","22","2","with",9,63,374,100,"match"
"4830","BOCK","a","22","2","lovely",10,63,409,100,"match"
"4831","BOCK","a","22","2","trees",11,63,320,100,"match"
"4832","BOCK","a","22","2","and",12,63,360,100,"match"
"4833","BOCK","a","22","2","flowers.",13,63,449,100,"match"
"5014","BOCK","b","7","2","The",1,74,296,100,"mismatch"
"5015","BOCK","b","7","2","crime",2,74,181,100,"mismatch"
"5016","BOCK","b","7","2","in",3,74,245,100,"mismatch"
"5017","BOCK","b","7","2","the",4,74,220,100,"mismatch"
"5018","BOCK","b","7","2","suburbs",5,74,241,100,"mismatch"
"5019","BOCK","b","7","2","doubtlessly",6,74,230,100,"mismatch"
