"","Experiment","Condition","Item","Subj","Word","Region","Presentation","RT","QPCT","gramm","match"
"187","BockNoAdverbs","a","13","1","The",1,10,247,100,"gram","match"
"188","BockNoAdverbs","a","13","1","door",2,10,239,100,"gram","match"
"189","BockNoAdverbs","a","13","1","to",3,10,331,100,"gram","match"
"190","BockNoAdverbs","a","13","1","the",4,10,297,100,"gram","match"
"191","BockNoAdverbs","a","13","1","laboratory",5,10,311,100,"gram","match"
"192","BockNoAdverbs","a","13","1","was",6,10,284,100,"gram","match"
"193","BockNoAdverbs","a","13","1","left",7,10,210,100,"gram","match"
"194","BockNoAdverbs","a","13","1","unlocked",8,10,268,100,"gram","match"
"195","BockNoAdverbs","a","13","1","accidentally",9,10,254,100,"gram","match"
"196","BockNoAdverbs","a","13","1","by",10,10,254,100,"gram","match"
"197","BockNoAdverbs","a","13","1","the",11,10,246,100,"gram","match"
"198","BockNoAdverbs","a","13","1","cleaning",12,10,238,100,"gram","match"
"199","BockNoAdverbs","a","13","1","service.",13,10,390,100,"gram","match"
"288","BockNoAdverbs","a","9","1","The",1,16,236,100,"gram","match"
"289","BockNoAdverbs","a","9","1","citation",2,16,247,100,"gram","match"
"290","BockNoAdverbs","a","9","1","on",3,16,303,100,"gram","match"
"291","BockNoAdverbs","a","9","1","the",4,16,243,100,"gram","match"
"292","BockNoAdverbs","a","9","1","notecard",5,16,250,100,"gram","match"
"293","BockNoAdverbs","a","9","1","was",6,16,230,100,"gram","match"
"294","BockNoAdverbs","a","9","1","quite",7,16,266,100,"gram","match"
"295","BockNoAdverbs","a","9","1","difficult",8,16,241,100,"gram","match"
"296","BockNoAdverbs","a","9","1","to",9,16,290,100,"gram","match"
"297","BockNoAdverbs","a","9","1","track",10,16,262,100,"gram","match"
"298","BockNoAdverbs","a","9","1","down",11,16,250,100,"gram","match"
"299","BockNoAdverbs","a","9","1","using",12,16,226,100,"gram","match"
"300","BockNoAdverbs","a","9","1","the",13,16,223,100,"gram","match"
"301","BockNoAdverbs","a","9","1","library's",14,16,242,100,"gram","match"
"302","BockNoAdverbs","a","9","1","limited",15,16,310,100,"gram","match"
